Accession,BioSample,Organism_Name,Species,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,Host,Submitters,Collection_Date
AP019059.1,SAMD00141530,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN130_tumor DNA, nearly complete genome",169789,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019060.1,SAMD00141531,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN132_PBMC DNA, nearly complete genome",168997,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019061.1,SAMD00141532,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN132_tumor DNA, complete genome",170874,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019062.1,SAMD00141533,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN134_PBMC DNA, nearly complete genome",141267,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019063.1,SAMD00141534,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN134_tumor DNA, nearly complete genome",153954,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019064.1,SAMD00141535,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN136_PBMC DNA, nearly complete genome",169974,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019065.1,SAMD00141536,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN136_tumor DNA, nearly complete genome",171289,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019066.1,SAMD00141537,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN138_PBMC DNA, nearly complete genome",154252,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019067.1,SAMD00141538,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN138_tumor DNA, nearly complete genome",170143,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019068.1,SAMD00141539,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN14_PBMC DNA, nearly complete genome",164183,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019069.1,SAMD00141540,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN140_PBMC DNA, nearly complete genome",134791,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019070.1,SAMD00141541,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN140_tumor DNA, nearly complete genome",171369,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019071.1,SAMD00141542,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN142_gdT-1 DNA, nearly complete genome",169085,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019072.1,SAMD00141543,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN142_gdT-2 DNA, nearly complete genome",170129,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019073.1,SAMD00141544,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN142_PBMC DNA, nearly complete genome",168734,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019074.1,SAMD00141545,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN15_PBMC DNA, nearly complete genome",168613,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019075.1,SAMD00141546,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN17_PBMC DNA, nearly complete genome",166012,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019076.1,SAMD00141547,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN1756_PBMC DNA, complete genome",168147,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019077.1,SAMD00141548,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN1757_PBMC DNA, nearly complete genome",168636,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019078.1,SAMD00141549,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN1758_PBMC DNA, nearly complete genome",170504,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019079.1,SAMD00141550,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN1789_PBMC DNA, nearly complete genome",161053,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019080.1,SAMD00141551,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN18_PBMC DNA, nearly complete genome",168880,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019081.1,SAMD00141552,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN1802_PBMC DNA, nearly complete genome",170117,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019082.1,SAMD00141553,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN1813_PBMC DNA, nearly complete genome",170836,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019083.1,SAMD00141554,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN1833_tissue DNA, complete genome",171260,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019084.1,SAMD00141555,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN185_PBMC DNA, nearly complete genome",170348,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019085.1,SAMD00141556,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN19_PBMC DNA, nearly complete genome",162206,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019086.1,SAMD00141557,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN1901_tissue DNA, nearly complete genome",170944,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019087.1,SAMD00141558,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN1926_PBMC DNA, complete genome",169765,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019088.1,SAMD00141559,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN2_PBMC DNA, nearly complete genome",153810,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019089.1,SAMD00141560,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN20_PBMC DNA, nearly complete genome",160834,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019090.1,SAMD00141561,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN21_PBMC DNA, nearly complete genome",168174,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019091.1,SAMD00141562,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN22_PBMC DNA, nearly complete genome",168799,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019092.1,SAMD00141563,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN23_PBMC DNA, nearly complete genome",157411,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
